,Location,Price,Type,rooms,Property ID
0,"Ethelbert Road, Faversham, ME13","£425,000        ",flat,2,property-121575791
1,"Provender Mill, Belvedere Road, Faversham","£399,000        ",flat,2,property-121575791
2,"Provender Mill, Belvedere Road, Faversham","£395,000        ",flat,2,property-121575791
3,"Ospringe Place, Faversham","£350,000        ",flat,2,property-121575791
4,"St Mary's Court, Church Road, Faversham","£280,000        ",flat,2,property-121575791
5,"Middle Row, Faversham, Kent","£250,000        ",flat,2,property-121575791
6,"Preston Grove, Faversham, ME13","£240,000        ",flat,2,property-121575791
7,"Market Place, Faversham","£240,000        ",flat,2,property-121575791
8,"Preston Place, Faversham","£240,000        ",flat,2,property-121575791
9,"Preston Place, Faversham","£230,000        ",flat,2,property-121575791
10,"Orchard Place, Faversham, ME13","£230,000        ",flat,2,property-121575791
11,"Preston Grove, Faversham, ME13","£225,000        ",flat,2,property-121575791
12,"Napleton Road, Faversham","£220,000        ",flat,2,property-121575791
13,"Preston Street, Faversham, Kent","£220,000        ",flat,2,property-121575791
14,"Edward Vinson Drive, Faversham","£215,000        ",flat,2,property-121575791
15,"Edward Vinson Drive, Faversham, ME13","£199,950        ",flat,2,property-121575791
16,"Thomas Neame Avenue, Faversham","£195,000        ",flat,2,property-121575791
17,"Edward Vinson Drive, Faversham, Kent","£190,000        ",flat,2,property-121575791
18,"East Street, Faversham","£175,000        ",flat,2,property-121575791
19,"Preston Street, Faversham, Kent","£145,500        ",flat,2,property-121575791
