,Location,Price,Type,rooms,Property ID
0,"faversham / ['Ethelbert Road, Faversham, ME13', 'Provender Mill, Belvedere Road, Faversham', 'Provender Mill, Belvedere Road, Faversham', 'Ospringe Place, Faversham', ""St Mary's Court, Church Road, Faversham"", 'Middle Row, Faversham, Kent', 'Preston Grove, Faversham, ME13', 'Market Place, Faversham', 'Preston Place, Faversham', 'Preston Place, Faversham', 'Orchard Place, Faversham, ME13', 'Preston Grove, Faversham, ME13', 'Napleton Road, Faversham', 'Preston Street, Faversham, Kent', 'Edward Vinson Drive, Faversham', 'Edward Vinson Drive, Faversham, ME13', 'Thomas Neame Avenue, Faversham', 'Edward Vinson Drive, Faversham, Kent', 'East Street, Faversham', 'Preston Street, Faversham, Kent']","£425,000        ",flat,2,prop116425769
1,"faversham / ['Ethelbert Road, Faversham, ME13', 'Provender Mill, Belvedere Road, Faversham', 'Provender Mill, Belvedere Road, Faversham', 'Ospringe Place, Faversham', ""St Mary's Court, Church Road, Faversham"", 'Middle Row, Faversham, Kent', 'Preston Grove, Faversham, ME13', 'Market Place, Faversham', 'Preston Place, Faversham', 'Preston Place, Faversham', 'Orchard Place, Faversham, ME13', 'Preston Grove, Faversham, ME13', 'Napleton Road, Faversham', 'Preston Street, Faversham, Kent', 'Edward Vinson Drive, Faversham', 'Edward Vinson Drive, Faversham, ME13', 'Thomas Neame Avenue, Faversham', 'Edward Vinson Drive, Faversham, Kent', 'East Street, Faversham', 'Preston Street, Faversham, Kent']","£399,000        ",flat,2,prop120098570
2,"faversham / ['Ethelbert Road, Faversham, ME13', 'Provender Mill, Belvedere Road, Faversham', 'Provender Mill, Belvedere Road, Faversham', 'Ospringe Place, Faversham', ""St Mary's Court, Church Road, Faversham"", 'Middle Row, Faversham, Kent', 'Preston Grove, Faversham, ME13', 'Market Place, Faversham', 'Preston Place, Faversham', 'Preston Place, Faversham', 'Orchard Place, Faversham, ME13', 'Preston Grove, Faversham, ME13', 'Napleton Road, Faversham', 'Preston Street, Faversham, Kent', 'Edward Vinson Drive, Faversham', 'Edward Vinson Drive, Faversham, ME13', 'Thomas Neame Avenue, Faversham', 'Edward Vinson Drive, Faversham, Kent', 'East Street, Faversham', 'Preston Street, Faversham, Kent']","£395,000        ",flat,2,prop82454058
3,"faversham / ['Ethelbert Road, Faversham, ME13', 'Provender Mill, Belvedere Road, Faversham', 'Provender Mill, Belvedere Road, Faversham', 'Ospringe Place, Faversham', ""St Mary's Court, Church Road, Faversham"", 'Middle Row, Faversham, Kent', 'Preston Grove, Faversham, ME13', 'Market Place, Faversham', 'Preston Place, Faversham', 'Preston Place, Faversham', 'Orchard Place, Faversham, ME13', 'Preston Grove, Faversham, ME13', 'Napleton Road, Faversham', 'Preston Street, Faversham, Kent', 'Edward Vinson Drive, Faversham', 'Edward Vinson Drive, Faversham, ME13', 'Thomas Neame Avenue, Faversham', 'Edward Vinson Drive, Faversham, Kent', 'East Street, Faversham', 'Preston Street, Faversham, Kent']","£350,000        ",flat,2,prop121347452
4,"faversham / ['Ethelbert Road, Faversham, ME13', 'Provender Mill, Belvedere Road, Faversham', 'Provender Mill, Belvedere Road, Faversham', 'Ospringe Place, Faversham', ""St Mary's Court, Church Road, Faversham"", 'Middle Row, Faversham, Kent', 'Preston Grove, Faversham, ME13', 'Market Place, Faversham', 'Preston Place, Faversham', 'Preston Place, Faversham', 'Orchard Place, Faversham, ME13', 'Preston Grove, Faversham, ME13', 'Napleton Road, Faversham', 'Preston Street, Faversham, Kent', 'Edward Vinson Drive, Faversham', 'Edward Vinson Drive, Faversham, ME13', 'Thomas Neame Avenue, Faversham', 'Edward Vinson Drive, Faversham, Kent', 'East Street, Faversham', 'Preston Street, Faversham, Kent']","£280,000        ",flat,2,prop112122524
5,"faversham / ['Ethelbert Road, Faversham, ME13', 'Provender Mill, Belvedere Road, Faversham', 'Provender Mill, Belvedere Road, Faversham', 'Ospringe Place, Faversham', ""St Mary's Court, Church Road, Faversham"", 'Middle Row, Faversham, Kent', 'Preston Grove, Faversham, ME13', 'Market Place, Faversham', 'Preston Place, Faversham', 'Preston Place, Faversham', 'Orchard Place, Faversham, ME13', 'Preston Grove, Faversham, ME13', 'Napleton Road, Faversham', 'Preston Street, Faversham, Kent', 'Edward Vinson Drive, Faversham', 'Edward Vinson Drive, Faversham, ME13', 'Thomas Neame Avenue, Faversham', 'Edward Vinson Drive, Faversham, Kent', 'East Street, Faversham', 'Preston Street, Faversham, Kent']","£250,000        ",flat,2,prop120797537
6,"faversham / ['Ethelbert Road, Faversham, ME13', 'Provender Mill, Belvedere Road, Faversham', 'Provender Mill, Belvedere Road, Faversham', 'Ospringe Place, Faversham', ""St Mary's Court, Church Road, Faversham"", 'Middle Row, Faversham, Kent', 'Preston Grove, Faversham, ME13', 'Market Place, Faversham', 'Preston Place, Faversham', 'Preston Place, Faversham', 'Orchard Place, Faversham, ME13', 'Preston Grove, Faversham, ME13', 'Napleton Road, Faversham', 'Preston Street, Faversham, Kent', 'Edward Vinson Drive, Faversham', 'Edward Vinson Drive, Faversham, ME13', 'Thomas Neame Avenue, Faversham', 'Edward Vinson Drive, Faversham, Kent', 'East Street, Faversham', 'Preston Street, Faversham, Kent']","£240,000        ",flat,2,prop119639816
7,"faversham / ['Ethelbert Road, Faversham, ME13', 'Provender Mill, Belvedere Road, Faversham', 'Provender Mill, Belvedere Road, Faversham', 'Ospringe Place, Faversham', ""St Mary's Court, Church Road, Faversham"", 'Middle Row, Faversham, Kent', 'Preston Grove, Faversham, ME13', 'Market Place, Faversham', 'Preston Place, Faversham', 'Preston Place, Faversham', 'Orchard Place, Faversham, ME13', 'Preston Grove, Faversham, ME13', 'Napleton Road, Faversham', 'Preston Street, Faversham, Kent', 'Edward Vinson Drive, Faversham', 'Edward Vinson Drive, Faversham, ME13', 'Thomas Neame Avenue, Faversham', 'Edward Vinson Drive, Faversham, Kent', 'East Street, Faversham', 'Preston Street, Faversham, Kent']","£240,000        ",flat,2,prop118040027
8,"faversham / ['Ethelbert Road, Faversham, ME13', 'Provender Mill, Belvedere Road, Faversham', 'Provender Mill, Belvedere Road, Faversham', 'Ospringe Place, Faversham', ""St Mary's Court, Church Road, Faversham"", 'Middle Row, Faversham, Kent', 'Preston Grove, Faversham, ME13', 'Market Place, Faversham', 'Preston Place, Faversham', 'Preston Place, Faversham', 'Orchard Place, Faversham, ME13', 'Preston Grove, Faversham, ME13', 'Napleton Road, Faversham', 'Preston Street, Faversham, Kent', 'Edward Vinson Drive, Faversham', 'Edward Vinson Drive, Faversham, ME13', 'Thomas Neame Avenue, Faversham', 'Edward Vinson Drive, Faversham, Kent', 'East Street, Faversham', 'Preston Street, Faversham, Kent']","£240,000        ",flat,2,prop99482570
9,"faversham / ['Ethelbert Road, Faversham, ME13', 'Provender Mill, Belvedere Road, Faversham', 'Provender Mill, Belvedere Road, Faversham', 'Ospringe Place, Faversham', ""St Mary's Court, Church Road, Faversham"", 'Middle Row, Faversham, Kent', 'Preston Grove, Faversham, ME13', 'Market Place, Faversham', 'Preston Place, Faversham', 'Preston Place, Faversham', 'Orchard Place, Faversham, ME13', 'Preston Grove, Faversham, ME13', 'Napleton Road, Faversham', 'Preston Street, Faversham, Kent', 'Edward Vinson Drive, Faversham', 'Edward Vinson Drive, Faversham, ME13', 'Thomas Neame Avenue, Faversham', 'Edward Vinson Drive, Faversham, Kent', 'East Street, Faversham', 'Preston Street, Faversham, Kent']","£230,000        ",flat,2,prop117955571
10,"faversham / ['Ethelbert Road, Faversham, ME13', 'Provender Mill, Belvedere Road, Faversham', 'Provender Mill, Belvedere Road, Faversham', 'Ospringe Place, Faversham', ""St Mary's Court, Church Road, Faversham"", 'Middle Row, Faversham, Kent', 'Preston Grove, Faversham, ME13', 'Market Place, Faversham', 'Preston Place, Faversham', 'Preston Place, Faversham', 'Orchard Place, Faversham, ME13', 'Preston Grove, Faversham, ME13', 'Napleton Road, Faversham', 'Preston Street, Faversham, Kent', 'Edward Vinson Drive, Faversham', 'Edward Vinson Drive, Faversham, ME13', 'Thomas Neame Avenue, Faversham', 'Edward Vinson Drive, Faversham, Kent', 'East Street, Faversham', 'Preston Street, Faversham, Kent']","£230,000        ",flat,2,prop84200017
11,"faversham / ['Ethelbert Road, Faversham, ME13', 'Provender Mill, Belvedere Road, Faversham', 'Provender Mill, Belvedere Road, Faversham', 'Ospringe Place, Faversham', ""St Mary's Court, Church Road, Faversham"", 'Middle Row, Faversham, Kent', 'Preston Grove, Faversham, ME13', 'Market Place, Faversham', 'Preston Place, Faversham', 'Preston Place, Faversham', 'Orchard Place, Faversham, ME13', 'Preston Grove, Faversham, ME13', 'Napleton Road, Faversham', 'Preston Street, Faversham, Kent', 'Edward Vinson Drive, Faversham', 'Edward Vinson Drive, Faversham, ME13', 'Thomas Neame Avenue, Faversham', 'Edward Vinson Drive, Faversham, Kent', 'East Street, Faversham', 'Preston Street, Faversham, Kent']","£225,000        ",flat,2,prop114072098
12,"faversham / ['Ethelbert Road, Faversham, ME13', 'Provender Mill, Belvedere Road, Faversham', 'Provender Mill, Belvedere Road, Faversham', 'Ospringe Place, Faversham', ""St Mary's Court, Church Road, Faversham"", 'Middle Row, Faversham, Kent', 'Preston Grove, Faversham, ME13', 'Market Place, Faversham', 'Preston Place, Faversham', 'Preston Place, Faversham', 'Orchard Place, Faversham, ME13', 'Preston Grove, Faversham, ME13', 'Napleton Road, Faversham', 'Preston Street, Faversham, Kent', 'Edward Vinson Drive, Faversham', 'Edward Vinson Drive, Faversham, ME13', 'Thomas Neame Avenue, Faversham', 'Edward Vinson Drive, Faversham, Kent', 'East Street, Faversham', 'Preston Street, Faversham, Kent']","£220,000        ",flat,2,prop119222546
13,"faversham / ['Ethelbert Road, Faversham, ME13', 'Provender Mill, Belvedere Road, Faversham', 'Provender Mill, Belvedere Road, Faversham', 'Ospringe Place, Faversham', ""St Mary's Court, Church Road, Faversham"", 'Middle Row, Faversham, Kent', 'Preston Grove, Faversham, ME13', 'Market Place, Faversham', 'Preston Place, Faversham', 'Preston Place, Faversham', 'Orchard Place, Faversham, ME13', 'Preston Grove, Faversham, ME13', 'Napleton Road, Faversham', 'Preston Street, Faversham, Kent', 'Edward Vinson Drive, Faversham', 'Edward Vinson Drive, Faversham, ME13', 'Thomas Neame Avenue, Faversham', 'Edward Vinson Drive, Faversham, Kent', 'East Street, Faversham', 'Preston Street, Faversham, Kent']","£220,000        ",flat,2,prop121564235
14,"faversham / ['Ethelbert Road, Faversham, ME13', 'Provender Mill, Belvedere Road, Faversham', 'Provender Mill, Belvedere Road, Faversham', 'Ospringe Place, Faversham', ""St Mary's Court, Church Road, Faversham"", 'Middle Row, Faversham, Kent', 'Preston Grove, Faversham, ME13', 'Market Place, Faversham', 'Preston Place, Faversham', 'Preston Place, Faversham', 'Orchard Place, Faversham, ME13', 'Preston Grove, Faversham, ME13', 'Napleton Road, Faversham', 'Preston Street, Faversham, Kent', 'Edward Vinson Drive, Faversham', 'Edward Vinson Drive, Faversham, ME13', 'Thomas Neame Avenue, Faversham', 'Edward Vinson Drive, Faversham, Kent', 'East Street, Faversham', 'Preston Street, Faversham, Kent']","£215,000        ",flat,2,prop121583006
15,"faversham / ['Ethelbert Road, Faversham, ME13', 'Provender Mill, Belvedere Road, Faversham', 'Provender Mill, Belvedere Road, Faversham', 'Ospringe Place, Faversham', ""St Mary's Court, Church Road, Faversham"", 'Middle Row, Faversham, Kent', 'Preston Grove, Faversham, ME13', 'Market Place, Faversham', 'Preston Place, Faversham', 'Preston Place, Faversham', 'Orchard Place, Faversham, ME13', 'Preston Grove, Faversham, ME13', 'Napleton Road, Faversham', 'Preston Street, Faversham, Kent', 'Edward Vinson Drive, Faversham', 'Edward Vinson Drive, Faversham, ME13', 'Thomas Neame Avenue, Faversham', 'Edward Vinson Drive, Faversham, Kent', 'East Street, Faversham', 'Preston Street, Faversham, Kent']","£199,950        ",flat,2,prop121668032
