,Location,Price,Type,rooms,Property ID
0,canterbury,"£350,000        ",flat,2,prop122044046
1,canterbury,"£499,950        ",flat,2,prop118979573
2,canterbury,"£475,000        ",flat,2,prop121800494
3,canterbury,"£465,000        ",flat,2,prop118136597
4,canterbury,"£425,000        ",flat,2,prop120374633
5,canterbury,"£425,000        ",flat,2,prop120591494
6,canterbury,"£400,000        ",flat,2,prop121728914
7,canterbury,"£375,000        ",flat,2,prop121086200
8,canterbury,"£375,000        ",flat,2,prop79956912
9,canterbury,"£375,000        ",flat,2,prop118027082
10,canterbury,"£350,000        ",flat,2,prop120150476
11,canterbury,"£345,000        ",flat,2,prop112738814
12,canterbury,"£339,950        ",flat,2,prop107810432
13,canterbury,"£335,000        ",flat,2,prop121079549
14,canterbury,"£325,000        ",flat,2,prop111704330
15,canterbury,"£325,000        ",flat,2,prop121425560
16,canterbury,"£325,000        ",flat,2,prop121095305
17,canterbury,"£325,000        ",flat,2,prop108698390
18,canterbury,"£325,000        ",flat,2,prop121190642
19,canterbury,"£315,000        ",flat,2,prop109763393
20,canterbury,"£305,000        ",flat,2,prop119535206
21,canterbury,"£300,000        ",flat,2,prop120118304
22,canterbury,"£300,000        ",flat,2,prop96455210
23,canterbury,"£300,000        ",flat,2,prop113505749
24,canterbury,"£289,950        ",flat,2,prop118900664
25,canterbury,"£300,000        ",flat,2,prop121288727
26,canterbury,"£300,000        ",flat,2,prop117904961
27,canterbury,"£300,000        ",flat,2,prop82846011
28,canterbury,"£300,000        ",flat,2,prop97022906
29,canterbury,"£300,000        ",flat,2,prop115722149
30,canterbury,"£299,999        ",flat,2,prop102376316
31,canterbury,"£299,950        ",flat,2,prop112911341
32,canterbury,"£299,000        ",flat,2,prop120129269
33,canterbury,"£295,000        ",flat,2,prop118614881
34,canterbury,"£290,000        ",flat,2,prop117346844
35,canterbury,"£290,000        ",flat,2,prop111768788
36,canterbury,"£290,000        ",flat,2,prop120772082
37,canterbury,"£290,000        ",flat,2,prop112402094
38,canterbury,"£290,000        ",flat,2,prop119001728
39,canterbury,"£280,000        ",flat,2,prop121445462
40,canterbury,"£280,000        ",flat,2,prop121482371
41,canterbury,"£280,000        ",flat,2,prop121555955
42,canterbury,"£280,000        ",flat,2,prop120900524
43,canterbury,"£280,000        ",flat,2,prop119294258
44,canterbury,"£280,000        ",flat,2,prop117153242
45,canterbury,"£280,000        ",flat,2,prop112546685
46,canterbury,"£275,000        ",flat,2,prop110782016
47,canterbury,"£265,000        ",flat,2,prop120146600
