,Location,Price,Type,rooms,Property ID
0,dartford,"£400,000        ",flat,2,prop81587181
1,dartford,"£375,000        ",flat,2,prop113642837
2,dartford,"£375,000        ",flat,2,prop110382512
3,dartford,"£350,000        ",flat,2,prop119103953
4,dartford,"£345,000        ",flat,2,prop121348241
5,dartford,"£335,995        ",flat,2,prop121558910
6,dartford,"£335,995        ",flat,2,prop121558874
7,dartford,"£331,995        ",flat,2,prop121558826
8,dartford,"£331,995        ",flat,2,prop121558769
9,dartford,"£331,995        ",flat,2,prop121558607
10,dartford,"£330,000        ",flat,2,prop110128196
11,dartford,"£330,000        ",flat,2,prop119536325
12,dartford,"£330,000        ",flat,2,prop120704735
13,dartford,"£330,000        ",flat,2,prop120311624
14,dartford,"£328,995        ",flat,2,prop121558523
15,dartford,"£328,995        ",flat,2,prop121559150
16,dartford,"£325,995        ",flat,2,prop122093027
17,dartford,"£325,000        ",flat,2,prop115036982
18,dartford,"£325,000        ",flat,2,prop121345619
19,dartford,"£325,000        ",flat,2,prop119213285
20,dartford,"£325,000        ",flat,2,prop119436536
21,dartford,"£325,000        ",flat,2,prop117621035
22,dartford,"£325,000        ",flat,2,prop112876376
23,dartford,"£325,000        ",flat,2,prop118968140
24,dartford,"£325,000        ",flat,2,prop113914367
25,dartford,"£324,995        ",flat,2,prop122091623
26,dartford,"£323,995        ",flat,2,prop122092424
27,dartford,"£320,000        ",flat,2,prop122238890
28,dartford,"£318,995        ",flat,2,prop121558700
29,dartford,"£315,000        ",flat,2,prop116584943
30,dartford,"£305,995        ",flat,2,prop122093837
31,dartford,"£300,000        ",flat,2,prop119495795
32,dartford,"£300,000        ",flat,2,prop119063492
33,dartford,"£295,000        ",flat,2,prop119296835
34,dartford,"£285,000        ",flat,2,prop116864459
35,dartford,"£280,000        ",flat,2,prop120247841
36,dartford,"£280,000        ",flat,2,prop73641885
37,dartford,"£280,000        ",flat,2,prop120663128
38,dartford,"£280,000        ",flat,2,prop115874036
39,dartford,"£280,000        ",flat,2,prop116068934
40,dartford,"£280,000        ",flat,2,prop121847219
41,dartford,"£280,000        ",flat,2,prop119830922
42,dartford,"£280,000        ",flat,2,prop121749791
43,dartford,"£275,000        ",flat,2,prop110766143
44,dartford,"£275,000        ",flat,2,prop82659207
45,dartford,"£270,000        ",flat,2,prop118751285
46,dartford,"£270,000        ",flat,2,prop81040347
47,dartford,"£270,000        ",flat,2,prop116196722
48,dartford,"£270,000        ",flat,2,prop116106731
49,dartford,"£270,000        ",flat,2,prop120806150
50,dartford,"£270,000        ",flat,2,prop118529882
51,dartford,"£270,000        ",flat,2,prop112817843
52,dartford,"£270,000        ",flat,2,prop79539075
53,dartford,"£270,000        ",flat,2,prop118917851
54,dartford,"£269,995        ",flat,2,prop120101246
55,dartford,"£265,000        ",flat,2,prop119736710
56,dartford,"£265,000        ",flat,2,prop115547087
57,dartford,"£260,000        ",flat,2,prop114832766
58,dartford,"£260,000        ",flat,2,prop121641089
59,dartford,"£260,000        ",flat,2,prop90763265
60,dartford,"£260,000        ",flat,2,prop121067159
61,dartford,"£260,000        ",flat,2,prop79467228
62,dartford,"£260,000        ",flat,2,prop118955129
63,dartford,"£260,000        ",flat,2,prop84066051
64,dartford,"£260,000        ",flat,2,prop114663362
65,dartford,"£260,000        ",flat,2,prop118526387
66,dartford,"£260,000        ",flat,2,prop121289654
67,dartford,"£260,000        ",flat,2,prop116672339
68,dartford,"£250,000        ",flat,2,prop112387724
69,dartford,"£250,000        ",flat,2,prop120564404
70,dartford,"£250,000        ",flat,2,prop109302617
71,dartford,"£250,000        ",flat,2,prop121353947
72,dartford,"£250,000        ",flat,2,prop120811784
73,dartford,"£250,000        ",flat,2,prop118858064
74,dartford,"£250,000        ",flat,2,prop110670935
75,dartford,"£250,000        ",flat,2,prop107386814
76,dartford,"£250,000        ",flat,2,prop115068125
77,dartford,"£250,000        ",flat,2,prop118645706
78,dartford,"£250,000        ",flat,2,prop119827967
79,dartford,"£250,000        ",flat,2,prop119147003
80,dartford,"£250,000        ",flat,2,prop110306384
81,dartford,"£250,000        ",flat,2,prop118692593
82,dartford,"£250,000        ",flat,2,prop120245114
83,dartford,"£250,000        ",flat,2,prop120948941
84,dartford,"£250,000        ",flat,2,prop112768028
85,dartford,"£250,000        ",flat,2,prop113180147
86,dartford,"£250,000        ",flat,2,prop82662456
87,dartford,"£250,000        ",flat,2,prop113586707
88,dartford,"£250,000        ",flat,2,prop117239966
89,dartford,"£250,000        ",flat,2,prop121872575
90,dartford,"£250,000        ",flat,2,prop118860992
91,dartford,"£250,000        ",flat,2,prop87544135
92,dartford,"£250,000        ",flat,2,prop117115676
93,dartford,"£250,000        ",flat,2,prop109662896
94,dartford,"£250,000        ",flat,2,prop116356967
95,dartford,"£245,000        ",flat,2,prop113195078
