,Location,Price,Type,rooms,Property ID
0,faversham,"£449,995        ",detached,3,prop121797524
1,faversham,"£675,000        ",detached,3,prop81355035
2,faversham,"£650,000        ",detached,3,prop120969584
3,faversham,"£465,000        ",detached,3,prop121665755
4,faversham,"£450,000        ",detached,3,prop121455083
5,faversham,"£449,995        ",detached,3,prop121797524
6,faversham,"£420,000        ",detached,3,prop116465108
7,faversham,"£420,000        ",detached,3,prop120771365
8,faversham,"£417,000        ",detached,3,prop81938664
9,faversham,"£417,000        ",detached,3,prop114402683
10,faversham,"£417,000        ",detached,3,prop81938334
11,faversham,"£405,000        ",detached,3,prop121090925
12,faversham,"£385,000        ",detached,3,prop115699658
13,faversham,"£365,000        ",detached,3,prop79801635
14,faversham,"£350,000        ",detached,3,prop117720206
15,faversham,"£310,000        ",detached,3,prop112621349
