,Location,Price,Type,rooms,Property ID
0,faversham,"£425,000        ",flat,2,prop116425769
1,faversham,"£399,000        ",flat,2,prop120098570
2,faversham,"£395,000        ",flat,2,prop82454058
3,faversham,"£350,000        ",flat,2,prop121347452
4,faversham,"£280,000        ",flat,2,prop112122524
5,faversham,"£250,000        ",flat,2,prop120797537
6,faversham,"£240,000        ",flat,2,prop119639816
7,faversham,"£240,000        ",flat,2,prop118040027
8,faversham,"£240,000        ",flat,2,prop99482570
9,faversham,"£230,000        ",flat,2,prop84200017
10,faversham,"£230,000        ",flat,2,prop117955571
11,faversham,"£225,000        ",flat,2,prop114072098
12,faversham,"£220,000        ",flat,2,prop121564235
13,faversham,"£220,000        ",flat,2,prop119222546
14,faversham,"£215,000        ",flat,2,prop121583006
15,faversham,"£199,950        ",flat,2,prop121668032
16,faversham,"£195,000        ",flat,2,prop119074274
17,faversham,"£190,000        ",flat,2,prop117164957
18,faversham,"£175,000        ",flat,2,prop118053839
