,Location,Price,Type,rooms,Property ID
0,kent,"£385,000        ",detached,1,prop117961220
1,kent,"£325,000        ",detached,1,prop118530791
2,kent,"£285,000        ",detached,1,prop122027231
3,kent,"£275,000        ",detached,1,prop110783594
4,kent,"£270,000        ",detached,1,prop121346996
5,kent,"£235,000        ",detached,1,prop120945056
6,kent,"£220,000        ",detached,1,prop118298729
7,kent,"£205,000        ",detached,1,prop121622909
8,kent,"£200,000        ",detached,1,prop116343914
9,kent,"£195,000        ",detached,1,prop121386530
10,kent,"£180,000        ",detached,1,prop116059286
11,kent,"£175,000        ",detached,1,prop120479852
12,kent,"£170,000        ",detached,1,prop117081665
13,kent,"£132,500        ",detached,1,prop120670733
14,kent,"£120,000        ",detached,1,prop121555070
15,kent,"£110,000        ",detached,1,prop121158596
16,kent,"£110,000        ",detached,1,prop120754040
17,kent,"£110,000        ",detached,1,prop119547050
18,kent,"£90,000        ",detached,1,prop121739948
19,kent,"£85,000        ",detached,1,prop121617776
20,kent,"£75,000        ",detached,1,prop121047875
21,kent,"£65,000        ",detached,1,prop98182913
