,Location,Price,Type,rooms,Property ID
0,kent,"£1,750,000        ",flat,4,prop114304019
1,kent,"£1,695,000        ",flat,4,prop119048717
2,kent,"£1,650,000        ",flat,4,prop120676937
3,kent,"£1,600,000        ",flat,4,prop116890112
4,kent,"£1,300,000        ",flat,4,prop120886316
5,kent,"£1,195,000        ",flat,4,prop116156711
6,kent,"£1,050,000        ",flat,4,prop120538472
7,kent,"£895,000        ",flat,4,prop121056293
8,kent,"£875,000        ",flat,4,prop111994472
9,kent,"£800,000        ",flat,4,prop121046762
10,kent,"£799,995        ",flat,4,prop121562993
11,kent,"£795,000        ",flat,4,prop115395251
12,kent,"£795,000        ",flat,4,prop112301603
13,kent,"£750,000        ",flat,4,prop116761169
14,kent,"£750,000        ",flat,4,prop117896063
15,kent,"£725,000        ",flat,4,prop104925791
16,kent,"£699,995        ",flat,4,prop119330852
17,kent,"£699,950        ",flat,4,prop121591421
18,kent,"£695,000        ",flat,4,prop81356508
19,kent,"£650,000        ",flat,4,prop111422567
20,kent,"£650,000        ",flat,4,prop116838002
21,kent,"£650,000        ",flat,4,prop113429849
22,kent,"£635,000        ",flat,4,prop109495709
23,kent,"£625,000        ",flat,4,prop111878621
24,kent,"£620,000        ",flat,4,prop120482216
25,kent,"£600,000        ",flat,4,prop121405115
26,kent,"£575,000        ",flat,4,prop119227739
27,kent,"£565,000        ",flat,4,prop107764409
28,kent,"£550,000        ",flat,4,prop121044650
29,kent,"£550,000        ",flat,4,prop37705329
30,kent,"£550,000        ",flat,4,prop121325162
31,kent,"£525,000        ",flat,4,prop120386426
32,kent,"£525,000        ",flat,4,prop114426164
33,kent,"£525,000        ",flat,4,prop120967055
34,kent,"£520,000        ",flat,4,prop120620189
35,kent,"£500,000        ",flat,4,prop115683626
36,kent,"£475,000        ",flat,4,prop120076904
37,kent,"£475,000        ",flat,4,prop112457579
38,kent,"£450,000        ",flat,4,prop121758686
39,kent,"£450,000        ",flat,4,prop114104432
40,kent,"£440,000        ",flat,4,prop119755562
41,kent,"£435,000        ",flat,4,prop119093894
42,kent,"£425,000        ",flat,4,prop119002685
43,kent,"£425,000        ",flat,4,prop116223209
44,kent,"£415,000        ",flat,4,prop113564246
45,kent,"£415,000        ",flat,4,prop121511075
46,kent,"£400,000        ",flat,4,prop119327015
47,kent,"£400,000        ",flat,4,prop107074340
48,kent,"£399,995        ",flat,4,prop114991703
49,kent,"£399,950        ",flat,4,prop89751247
50,kent,"£385,000        ",flat,4,prop120822533
51,kent,"£379,995        ",flat,4,prop114971027
52,kent,"£375,000        ",flat,4,prop121332305
53,kent,"£350,000        ",flat,4,prop115547021
54,kent,"£350,000        ",flat,4,prop120372074
55,kent,"£350,000        ",flat,4,prop118526108
56,kent,"£342,000        ",flat,4,prop111533912
57,kent,"£340,000        ",flat,4,prop111136067
58,kent,"£340,000        ",flat,4,prop111707771
59,kent,"£335,000        ",flat,4,prop118606076
60,kent,"£325,000        ",flat,4,prop120951830
61,kent,"£325,000        ",flat,4,prop116791214
62,kent,"£325,000        ",flat,4,prop120514313
63,kent,"£325,000        ",flat,4,prop121508867
64,kent,"£310,000        ",flat,4,prop118550255
65,kent,"£300,000        ",flat,4,prop116196320
66,kent,"£300,000        ",flat,4,prop110196422
67,kent,"£300,000        ",flat,4,prop114135962
68,kent,"£295,000        ",flat,4,prop84066525
69,kent,"£275,000        ",flat,4,prop119655821
70,kent,"£275,000        ",flat,4,prop108839261
71,kent,"£270,000        ",flat,4,prop116561363
72,kent,"£269,995        ",flat,4,prop119791889
73,kent,"£260,000        ",flat,4,prop118545302
74,kent,"£250,000        ",flat,4,prop119058074
75,kent,"£250,000        ",flat,4,prop120315224
76,kent,"£250,000        ",flat,4,prop116652380
77,kent,"£225,000        ",flat,4,prop120318515
78,kent,"£220,000        ",flat,4,prop108472526
79,kent,"£210,000        ",flat,4,prop115199090
80,kent,"£199,950        ",flat,4,prop116685887
81,kent,"£180,000        ",flat,4,prop120740966
