,Location,Price,Type,rooms,Property ID
0,sevenoaks,"£1,200,000        ",flat,2,prop117908735
1,sevenoaks,"£1,195,000        ",flat,2,prop114332894
2,sevenoaks,"£1,150,000        ",flat,2,prop117908738
3,sevenoaks,"£925,000        ",flat,2,prop120637775
4,sevenoaks,"£895,500        ",flat,2,prop117848882
5,sevenoaks,"£825,000        ",flat,2,prop109788917
6,sevenoaks,"£725,000        ",flat,2,prop120931874
7,sevenoaks,"£699,999        ",flat,2,prop116908964
8,sevenoaks,"£695,000        ",flat,2,prop121630367
9,sevenoaks,"£695,000        ",flat,2,prop122242919
10,sevenoaks,"£690,000        ",flat,2,prop121936772
11,sevenoaks,"£660,000        ",flat,2,prop122242913
12,sevenoaks,"£650,000        ",flat,2,prop120693725
13,sevenoaks,"£650,000        ",flat,2,prop122242895
14,sevenoaks,"£635,000        ",flat,2,prop119473754
15,sevenoaks,"£635,000        ",flat,2,prop122242904
16,sevenoaks,"£625,000        ",flat,2,prop121658288
17,sevenoaks,"£625,000        ",flat,2,prop122236601
18,sevenoaks,"£625,000        ",flat,2,prop110299223
19,sevenoaks,"£599,995        ",flat,2,prop121169636
20,sevenoaks,"£595,000        ",flat,2,prop122242925
21,sevenoaks,"£575,000        ",flat,2,prop118871792
22,sevenoaks,"£560,000        ",flat,2,prop121054409
23,sevenoaks,"£499,950        ",flat,2,prop120844619
24,sevenoaks,"£485,000        ",flat,2,prop119505731
25,sevenoaks,"£475,000        ",flat,2,prop122238449
26,sevenoaks,"£470,000        ",flat,2,prop113304746
27,sevenoaks,"£465,000        ",flat,2,prop117344474
28,sevenoaks,"£465,000        ",flat,2,prop115861769
29,sevenoaks,"£460,000        ",flat,2,prop90484333
30,sevenoaks,"£450,000        ",flat,2,prop112718456
31,sevenoaks,"£435,000        ",flat,2,prop90535825
32,sevenoaks,"£435,000        ",flat,2,prop120240824
33,sevenoaks,"£425,000        ",flat,2,prop118508384
34,sevenoaks,"£425,000        ",flat,2,prop122157149
35,sevenoaks,"£425,000        ",flat,2,prop114229901
36,sevenoaks,"£425,000        ",flat,2,prop121496405
37,sevenoaks,"£420,000        ",flat,2,prop78936816
38,sevenoaks,"£415,000        ",flat,2,prop119557013
39,sevenoaks,"£400,000        ",flat,2,prop119027000
40,sevenoaks,"£400,000        ",flat,2,prop120764363
41,sevenoaks,"£399,000        ",flat,2,prop119555669
42,sevenoaks,"£395,000        ",flat,2,prop118569242
43,sevenoaks,"£385,000        ",flat,2,prop120144809
44,sevenoaks,"£380,000        ",flat,2,prop118798124
45,sevenoaks,"£375,000        ",flat,2,prop119383904
46,sevenoaks,"£375,000        ",flat,2,prop120023303
47,sevenoaks,"£375,000        ",flat,2,prop120844574
